country,country_id,year,Inflation,GDP,interestRate,unemployment,outcome
Afghanistan,0,2008,26.41866415,2.096288749,12.55796015,2.49000001,1
Afghanistan,0,2012,6.441212809,7.301756471,7.174387244,1.690000057,1
Afghanistan,0,2014,4.673996035,0.566944541,14.35168934,7.909999847,1
Afghanistan,0,2017,4.975951506,2.403656188,12.14117829,11.18000031,1
Albania,1,1992,226.0054213,232.9846589,-63.78712048,26.5,1
Albania,1,1993,85.00475124,125.6508142,-42.57351395,22.29999924,1
Albania,1,1994,22.56505269,35.84247522,-8.963182193,18.39999962,1
Albania,1,1995,7.793218538,9.97066268,8.801745014,12.89999962,1
Albania,1,1996,12.72547781,38.17205819,-10.28697484,12.30000019,1
Albania,1,1997,33.18027438,11.23964449,19.2994943,14.89999962,1
Albania,1,1999,0.389437654,2.102849988,19.1102893,18.39999962,0
Albania,1,2000,0.050018136,5.647471475,15.5754116,16.79999924,0
Albania,1,2001,3.10758827,3.810857369,15.2617074,16.39999962,1
Albania,1,2002,7.770525834,3.647476274,11.24647778,15.80000019,1
Albania,1,2003,0.484002612,5.198635304,8.623874258,15.0,0
Albania,1,2004,2.280019169,3.152368926,8.34605448,14.39999962,1
Albania,1,2005,2.366581957,3.306818153,9.455505476,14.10000038,1
Albania,1,2006,2.370728319,2.478188885,10.20876158,13.80000019,1
Albania,1,2007,2.932682482,4.386709379,9.304741443,15.97000027,1
Albania,1,2008,3.320870904,4.117085428,8.550524872,13.06000042,1
Albania,1,2009,2.266922095,2.418336057,10.00074742,13.67000008,1
Albania,1,2010,3.626046956,4.493143203,7.971036594,14.09000015,1
Albania,1,2011,3.429123247,2.314743797,9.888462236,13.47999954,1
Albania,1,2012,2.031592684,1.042714606,9.736112074,13.38000011,1
Albania,1,2013,1.937620802,0.288745964,9.510397491,15.86999989,0
Albania,1,2014,1.625865044,1.549917068,6.324557536,18.04999924,0
Albania,1,2015,3.501208355,0.563991354,7.272492418,17.19000053,1
Albania,1,2016,-0.36731721,-0.632653419,7.41372326,15.42000008,0
Albania,1,2017,2.060598459,1.451062699,4.700726807,13.61999989,1
Albania,1,2018,2.028059631,1.473058102,4.394705335,12.30000019,1
Albania,1,2019,1.41109079,1.221009476,4.993848494,11.47000027,0
Algeria,2,1995,29.77962649,28.57703753,-7.902165939,31.84000015,1
Algeria,2,1997,5.733522754,7.001963048,8.136645383,25.43000031,1
Algeria,2,2000,0.339163189,22.67800919,-10.334378,29.77000046,0
Algeria,2,2001,4.225988349,-0.47340196,10.02084082,27.29999924,1
Algeria,2,2002,1.418301923,1.320427849,7.168253864,25.89999962,0
Algeria,2,2003,4.268953958,8.330733637,-0.18991253,23.71999931,1
Algeria,2,2004,3.961800303,12.24763194,-3.784161738,17.64999962,1
Algeria,2,2005,1.382446567,16.12535042,-6.997051366,15.27000046,0
Algeria,2,2006,2.311499185,10.54670428,-2.303736055,12.27000046,1
Algeria,2,2007,3.678995747,6.39533725,1.508207776,13.78999996,1
Algeria,2,2008,4.858590628,15.31058101,-6.339904754,11.32999992,1
Algeria,2,2009,5.737060361,-11.16161545,21.56907236,10.15999985,1
